,cycle_id,start_weight,last_weight,average_weight,average_adg,fasting,pond_id,measured_date,morning_temperature,evening_temperature,morning_do,evening_do,morning_salinity,morning_pH,transparency,long_cycle,total_seed,area,size,weight,num_of_harvest
0,3458.0,5.23,25.18,14.428,0.27,True,12969.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,112,566669.0,4968.0,63.75,1845.7325,4.0
1,3459.0,4.95,26.59,15.167,0.267,True,12996.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,121,566669.0,4968.0,64.0,1863.51,4.0
2,4038.0,5.25,16.25,10.725,0.281,True,14334.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,94,350000.0,2700.0,89.0,1086.9766666666667,6.0
3,4039.0,5.4,15.7,11.035,0.273,True,14335.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,94,210000.0,1030.0,109.2,590.508,5.0
4,4044.0,2.77,24.76,13.033,0.256,True,14348.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.8999999999999995,38.0,119,215858.0,1250.0,70.85714285714286,506.29714285714283,7.0
5,4045.0,2.35,24.53,12.609,0.263,True,14349.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.8999999999999995,38.0,119,227526.0,1310.0,63.8,378.13800000000003,10.0
6,4046.0,2.57,23.9,12.896,0.25,True,14350.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,115,180854.0,1040.0,63.75,783.03,4.0
7,4047.0,2.54,21.54,11.931,0.23,True,14351.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.900000000000001,38.0,108,233360.0,1340.0,72.83333333333333,644.8133333333334,6.0
8,4048.0,2.33,21.47,12.47,0.219,True,14352.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.8999999999999995,38.0,119,265447.0,1540.0,66.7,436.421,10.0
9,4181.0,6.8,6.8,6.8,0.26,True,9603.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.900000000000001,38.0,52,100000.0,389.0,145.33333333333334,165.0,3.0
10,4233.0,5.0,5.0,5.0,0.15,True,13223.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,59,400000.0,1000.0,205.0,600.0,2.0
11,4238.0,7.27,30.68,19.254,0.366,True,13225.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.8999999999999995,38.0,105,223488.0,2679.0,33.0,509.73,1.0
12,4239.0,6.2,24.24,15.973,0.281,True,13226.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,105,223488.0,2384.0,41.0,1433.03,1.0
13,4241.0,5.68,26.36,17.089,0.314,True,13228.0,2023-01-09 12:25:06.976744192,28.0,30.0,4.97,5.64,23.0,7.9,38.0,105,213316.0,3094.0,37.0,1147.79,1.0
